id,algorithm_name,vertex_count,execution_time,operation_count,total_cost
1,Prim,12,0,12,242,507
2,Kruskal,12,0,07,75,507
3,Prim,9,0,04,159,215
4,Kruskal,9,0,02,62,215
5,Prim,10,0,06,174,335
6,Kruskal,10,0,02,63,335
7,Prim,7,0,02,65,215
8,Kruskal,7,0,01,36,215
9,Prim,5,0,01,36,117
10,Kruskal,5,0,01,19,117
11,Prim,56,0,71,6141,1804
12,Kruskal,56,0,18,634,1804
13,Prim,24,0,13,1086,688
14,Kruskal,24,0,04,207,688
15,Prim,51,0,54,5134,1232
16,Kruskal,51,0,13,580,1232
17,Prim,26,0,15,1276,847
18,Kruskal,26,0,05,221,847
19,Prim,85,1,45,14000,2630
20,Kruskal,85,0,27,1125,2630
21,Prim,49,0,20,4540,1525
22,Kruskal,49,0,08,540,1525
23,Prim,20,0,10,740,812
24,Kruskal,20,0,04,165,812
25,Prim,85,0,24,14511,3122
26,Kruskal,85,0,15,1159,3122
27,Prim,80,0,23,12453,2168
28,Kruskal,80,0,13,1057,2168
29,Prim,76,0,14,11448,2050
30,Kruskal,76,0,12,1018,2050
31,Prim,131,0,39,33863,3626
32,Kruskal,131,0,24,1738,3626
33,Prim,150,0,47,44219,3995
34,Kruskal,150,0,29,2033,3995
35,Prim,298,1,70,177541,8290
36,Kruskal,298,0,73,4678,8290
37,Prim,434,3,43,374026,11873
38,Kruskal,434,0,65,6811,11873
39,Prim,489,4,71,477188,13745
40,Kruskal,489,0,74,7718,13745
41,Prim,398,3,13,315178,10887
42,Kruskal,398,0,61,6289,10887
43,Prim,417,3,41,345641,11937
44,Kruskal,417,0,63,6570,11937
45,Prim,154,0,48,47271,4601
46,Kruskal,154,0,19,2130,4601
47,Prim,179,0,64,63696,5198
48,Kruskal,179,0,22,2456,5198
49,Prim,202,0,77,81579,6228
50,Kruskal,202,0,25,2787,6228
51,Prim,554,2,15,612091,15962
52,Kruskal,554,0,87,9853,15962
53,Prim,814,4,26,1322605,22137
54,Kruskal,814,1,35,14475,22137
55,Prim,507,1,78,512502,13583
56,Kruskal,507,0,74,8001,13583
